Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000517,5.17e-05,4e-06,0.000145,3.7924632862794835e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000468,4.68e-05,4e-05,6.2e-05,9.643650760992955e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001288,0.0001288,5e-05,0.000628,0.00018343148887557748,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000811,8.11e-05,4.4e-05,0.000167,3.8468962958612635e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000593,5.93e-05,4.4e-05,0.000112,1.917970570971075e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000459,4.59e-05,6e-06,0.000178,5.5825621357939224e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000371,3.71e-05,4e-06,8.5e-05,3.542872343797395e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000391,3.91e-05,5e-06,0.000108,3.8752777678222984e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000366,3.66e-05,8e-06,7e-05,1.7557049866079437e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.003307,0.1003307,4e-06,1.002915,0.33428867269439116,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000713,7.13e-05,4.2e-05,0.000153,3.1172013801556746e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000744,7.44e-05,4.7e-05,0.000125,2.843413441622586e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000610,6.1e-05,3.8e-05,0.000131,3.032234233110042e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000598,5.98e-05,2.7e-05,0.000153,3.69428988816224e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000603,6.03e-05,3.1e-05,0.000109,2.3553131426627756e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000541,5.41e-05,4.4e-05,8.2e-05,1.4878209270981206e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000572,5.72e-05,4.1e-05,7.8e-05,1.2826838183191435e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000529,5.29e-05,3.2e-05,7.6e-05,1.4754472015102554e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000669,6.69e-05,5e-06,0.000173,4.864668539582116e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000537,5.37e-05,3.7e-05,7.9e-05,1.700735135169495e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000601,6.01e-05,3e-06,0.000129,3.846354695610435e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000598,5.98e-05,4.8e-05,0.000103,1.6993462795374514e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000589,5.89e-05,3.7e-05,0.000103,1.9787060867591673e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000511,5.11e-05,3.9e-05,0.000112,2.1930445605241232e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000496,4.96e-05,4.7e-05,6.7e-05,7.944250191875324e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000518,5.18e-05,3e-06,0.000112,2.9875203393077975e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000489,4.89e-05,4.5e-05,6.5e-05,7.211102550927978e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000496,4.96e-05,4e-05,6.7e-05,8.738484485945552e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000484,4.84e-05,4.4e-05,7.3e-05,8.151346173758323e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000515,5.15e-05,4.8e-05,7.3e-05,7.661229956374136e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000529,5.29e-05,4.9e-05,7.3e-05,8.058811602491056e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000464,4.64e-05,4.3e-05,6.6e-05,7.451696302036053e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
